id,support_democrat,cong_district_region,occupation_code,gender_female,age,party,census_urbanpcnt,census_suburbanpcnt,census_ruralpcnt,census_collegepcnt,census_unemprate,census_medianincome,density_sq_km,on_email_list,avg_dem_performance,pet_owner,golf,hunting,random,likes_cheese,protestant,catholic,jewish,afam,latino,id_d,id_r,score_demo,party_dem,model_v2_score
25,1.0,2,6,0,38.0,1,0.6796875,0.0,0.3203125,0.24393204,0.00665779,78056.0,200.50284,0,47.9,0,1,1,4,0,1,0,0,0,0,0,0,0.36556712,1,0.8640192251845383
26,0.0,2,9,1,53.0,2,0.0,1.0,0.0,0.10521141,0.03363914,35433.0,503.5957,0,44.3,0,0,1,7,0,0,0,0,0,0,0,0,0.42641234,0,0.26376073482742113
27,0.0,3,2,0,37.0,2,1.0,0.0,0.0,0.22788605,0.03093923,65726.0,1009.4989,0,54.7,0,0,0,3,0,1,0,0,0,0,0,0,0.46627459,0,0.22354948725762866
28,,1,2,0,73.0,5,1.0,0.0,0.0,0.23501997,0.05130513,72908.0,1144.8127,1,55.6,0,0,0,7,0,0,1,0,0,0,0,0,0.43440002,0,
29,1.0,3,0,1,36.0,1,0.7955097,0.0,0.20449029,0.22301024,0.02313625,73403.0,54.05344399999999,1,45.0,0,0,1,2,0,0,1,0,0,0,0,0,0.47750676,1,0.8892021478370122
30,,3,3,1,62.0,1,1.0,0.0,0.0,0.13921113,0.10708899,35395.0,1963.5753,0,46.7,1,0,0,7,0,1,0,0,0,0,1,0,0.62604606,1,
31,,3,4,1,85.0,2,1.0,0.0,0.0,0.23497757,0.06552262,73889.0,1427.9346,0,51.0,0,0,0,4,0,0,0,0,0,0,0,0,0.50348574,0,
32,1.0,2,5,0,45.0,1,1.0,0.0,0.0,0.23941368,0.03414634,123798.0,317.27164,1,44.3,0,0,1,7,0,0,0,0,0,0,1,0,0.30229259,1,0.8044174908946516
33,0.0,2,6,0,45.0,2,0.0,0.0,1.0,0.09838473,0.02795699,43382.0,0.09685578,0,24.5,0,1,1,8,0,0,0,0,0,0,0,0,0.33538178,0,0.23732290661158228
34,0.0,2,6,0,64.0,5,0.0,0.5843094,0.4156906,0.09116107,0.06543019,36843.0,47.085079,0,49.0,0,0,1,6,0,0,0,0,0,0,0,0,0.3479605,0,0.20729802579547665
35,,3,2,0,53.0,1,1.0,0.0,0.0,0.22788605,0.03093923,65726.0,1009.4989,0,48.9,0,0,0,8,0,1,0,0,0,0,0,0,0.46170527,1,
36,1.0,1,7,1,66.0,2,1.0,0.0,0.0,0.12,0.02073578,61442.0,2865.9961,0,55.7,0,1,1,3,0,0,0,0,0,0,0,0,0.55190867,0,0.20096437569321637
37,0.0,1,3,0,57.0,2,0.16783217,0.0,0.8321678,0.0,0.0,40703.0,2.1623416,0,53.3,0,0,0,2,0,0,0,0,0,0,0,0,0.37623540000000005,0,0.216122813293853
38,,2,2,0,61.0,2,0.51328725,0.0,0.48671278,0.27171108,0.02478699,80763.0,4.4076585999999995,0,44.5,1,0,0,4,0,0,0,0,0,0,0,0,0.31986019,0,
39,,3,5,1,22.0,1,1.0,0.0,0.0,0.16386247,0.043058,62399.0,3411.9595,1,58.7,1,0,0,8,0,0,0,0,0,0,1,0,0.55919409,1,
40,,3,6,0,80.0,5,1.0,0.0,0.0,0.05192108,0.13311689,28438.0,3610.77,1,64.6,0,1,1,2,0,1,0,0,0,0,0,0,0.57201469,0,
41,1.0,3,9,1,48.0,1,1.0,0.0,0.0,0.19354838,0.04980843,90738.0,1702.0919,1,47.5,0,1,1,6,0,1,0,0,0,0,1,0,0.46636346,1,0.8590553614198778
42,0.0,2,2,0,64.0,5,0.0,0.0,1.0,0.08944099,0.0,68214.0,2.9292941000000003,0,38.5,0,0,1,8,0,0,0,0,0,0,0,0,0.26936513,0,0.17038148032599879
43,1.0,3,5,0,55.0,2,1.0,0.0,0.0,0.06996466,0.04778761,42054.0,2778.1062,0,64.3,0,0,1,10,0,1,0,0,0,0,0,0,0.53906006,0,0.21836719229878568
44,,1,4,0,58.0,1,1.0,0.0,0.0,0.10267857,0.05246913,56985.0,503.9545,0,54.4,1,0,1,3,0,0,0,0,0,0,0,0,0.49225795,1,
45,0.0,3,2,1,61.0,2,0.47332186,0.0,0.52667814,0.15667465,0.02891791,58487.0,216.66945,0,45.8,1,0,1,2,0,0,0,0,0,0,0,0,0.45109469,0,0.21441666433212417
46,1.0,1,2,1,26.0,1,1.0,0.0,0.0,0.16989568,0.01320132,79192.0,2180.3103,1,46.7,1,1,1,1,0,1,0,0,0,0,0,0,0.50843364,1,0.8962327946659677
47,1.0,3,5,0,65.0,5,1.0,0.0,0.0,0.11697248,0.07388749,50801.0,1386.0698,1,58.5,0,1,0,4,0,0,0,0,0,0,1,0,0.5076921,0,0.1883749449485027
48,,3,2,1,72.0,2,0.51328725,0.0,0.48671278,0.27171108,0.02478699,80763.0,4.4076585999999995,0,47.4,1,1,1,5,0,0,0,0,0,0,0,0,0.38621739,0,
49,,2,7,1,26.0,5,1.0,0.0,0.0,0.3533237,0.04228122,79606.0,887.96619,0,57.1,0,0,0,10,0,0,0,0,0,0,0,0,0.49770019,0,
50,0.0,3,2,0,43.0,2,1.0,0.0,0.0,0.36641222,0.0480226,44659.0,1051.2026,0,40.8,0,0,0,8,0,0,0,0,0,0,0,0,0.51990527,0,0.23982401411222468
51,,1,3,0,62.0,5,0.16783217,0.0,0.8321678,0.0,0.0,40703.0,2.1623416,0,55.1,0,1,0,9,0,0,0,0,1,0,0,0,0.67220646,0,
52,1.0,3,9,1,58.0,2,1.0,0.0,0.0,0.14863813,0.04212638,63529.0,2843.3276,0,50.6,1,0,1,2,0,0,0,0,0,0,0,0,0.54642457,0,0.21383959363114924
53,1.0,3,2,1,35.0,1,0.96010739,0.0,0.0398926,0.22123331,0.027894,64150.0,330.45126,1,57.0,0,0,0,6,0,0,0,0,0,0,0,0,0.53941911,1,0.8971259704068519
54,1.0,3,0,1,78.0,1,1.0,0.0,0.0,0.11414392,0.14432989,39125.0,6.025816900000001,0,50.5,0,1,0,8,0,0,0,0,0,0,1,0,0.61213863,1,0.8642383915787827
55,1.0,3,4,1,63.0,1,1.0,0.0,0.0,0.10650887,0.02180377,74808.0,1635.0289,0,53.0,0,0,0,6,0,0,1,0,0,0,0,0,0.51393962,1,0.8523475416518161
56,0.0,3,0,0,63.0,5,0.7955097,0.0,0.20449029,0.22301024,0.02313625,73403.0,54.05344399999999,0,45.0,1,0,0,6,0,0,0,0,0,0,0,0,0.39535844,0,0.1664370297120103
57,0.0,2,8,1,60.0,2,0.0,0.0,1.0,0.06081081,0.07197943,37083.0,4.001791000000001,0,33.5,1,1,1,4,0,0,0,0,0,0,0,0,0.42150649,0,0.2456705054083279
58,0.0,3,3,1,78.0,2,0.91910052,0.0,0.08089945,0.25410697,0.05022831,63578.0,27.444939,0,47.7,0,1,1,3,0,0,0,0,0,0,0,0,0.51846558,0,0.17677409054023635
59,1.0,3,1,1,36.0,1,1.0,0.0,0.0,0.1786691,0.02166065,44750.0,3592.8645,0,57.2,0,0,0,9,0,1,0,0,0,0,0,0,0.60568649,1,0.9091514567620302
60,1.0,2,5,1,58.0,5,1.0,0.0,0.0,0.30434781,0.0268595,96208.0,609.64972,0,38.7,0,1,1,10,0,1,0,0,0,0,1,0,0.44209072,0,0.1745603226674761
61,1.0,1,2,0,53.0,1,1.0,0.0,0.0,0.00834725,0.13881402,23983.0,3217.5181,0,69.5,0,0,1,6,0,0,0,0,0,0,0,0,0.59449029,1,0.889784935763387
62,0.0,3,9,1,62.0,1,1.0,0.0,0.0,0.11630559,0.03004292,57813.0,401.13202,0,54.4,1,1,0,10,0,1,0,0,0,0,0,0,0.56377119,1,0.8694199681636606
63,,3,2,0,63.0,2,0.51328725,0.0,0.48671278,0.27171108,0.02478699,80763.0,4.4076585999999995,0,39.2,0,1,0,5,0,0,0,0,0,0,0,0,0.31936076,0,
64,1.0,2,5,0,66.0,1,1.0,0.0,0.0,0.26075387,0.02665051,77557.0,350.43677,0,36.9,1,1,1,9,0,0,0,0,0,0,0,0,0.42180216,1,0.820900548997551
65,,3,2,0,44.0,1,1.0,0.0,0.0,0.23307437,0.01355422,37432.0,2111.5918,1,52.0,0,0,0,2,0,0,0,0,0,0,0,0,0.54796916,1,
66,,3,8,1,82.0,2,1.0,0.0,0.0,0.31391585,0.0,79578.0,258.94427,0,56.1,0,0,0,1,0,1,0,0,0,0,0,0,0.48408371,0,
67,0.0,3,2,1,34.0,2,0.9029218000000001,0.0,0.09707823,0.1105559,0.05037313,57316.0,94.149086,0,56.5,0,0,0,5,0,0,0,0,0,0,0,0,0.55336088,0,0.27471635647964765
68,0.0,2,5,0,57.0,2,1.0,0.0,0.0,0.26075387,0.02665051,77557.0,350.43677,0,42.8,1,0,1,7,0,0,0,0,0,0,0,0,0.42432463,0,0.17189234961908506
69,0.0,3,0,0,66.0,1,0.0,0.62857145,0.37142858,0.07793523,0.0,58421.0,5.6292324,0,43.2,0,0,0,3,1,0,0,0,0,0,0,0,0.29286265,1,0.8415566787946062
70,1.0,2,7,0,29.0,1,1.0,0.0,0.0,0.12958227,0.05981941,33348.0,3237.0291,1,63.8,0,0,0,7,1,0,0,0,0,0,0,0,0.5688982,1,0.9088494660031091
71,1.0,3,5,1,41.0,1,1.0,0.0,0.0,0.14329737,0.03157895,61542.0,3475.9155,0,51.7,0,0,0,4,0,0,0,0,0,0,1,0,0.55744892,1,0.8923492579484551
72,,2,6,1,31.0,5,1.0,0.0,0.0,0.30566037,0.01828154,76200.0,1513.7197,0,51.8,0,0,0,10,0,0,0,0,0,0,0,0,0.50899643,0,
73,,3,3,0,62.0,1,0.68516284,0.0,0.31483716,0.19401947,0.03808244,70129.0,183.87068,1,53.9,1,1,1,4,0,0,0,0,0,0,0,0,0.38432312,1,
74,0.0,3,9,1,69.0,2,1.0,0.0,0.0,0.18195957,0.0171875,45000.0,325.69781,0,53.9,0,0,1,8,0,0,0,0,0,0,0,0,0.59576595,0,0.2160153975998056
75,0.0,3,1,1,50.0,5,1.0,0.0,0.0,0.25384617,0.1,120959.0,1813.7541,0,52.6,0,0,1,7,0,0,1,0,0,0,0,0,0.37520808,0,0.16112613208147836
76,1.0,2,6,1,64.0,5,0.0,0.0,1.0,0.16494845,0.028125,74167.0,11.450439,1,43.7,0,0,1,8,0,1,0,0,0,0,1,0,0.31410861,0,0.18928112139478653
77,1.0,1,2,1,73.0,1,1.0,0.0,0.0,0.06734694,0.07969925,42639.0,2788.7827,0,65.2,1,0,0,5,0,0,0,0,0,0,0,0,0.60637724,1,0.8679430647280675
78,0.0,3,2,1,45.0,2,0.47332186,0.0,0.52667814,0.15667465,0.02891791,58487.0,216.66945,0,45.3,0,0,1,4,0,0,0,0,0,0,0,0,0.45564792,0,0.24793267252008322
79,,2,2,0,84.0,1,1.0,0.0,0.0,0.26304349,0.03116883,65000.0,408.29645,0,47.6,0,0,0,6,0,0,0,0,0,0,1,0,0.45325029,1,
80,,2,9,0,84.0,2,0.81070167,0.0,0.18929833,0.17683773,0.08605664,61307.0,107.66242,0,35.7,1,1,0,4,0,1,0,0,0,0,0,0,0.42906398,0,
81,0.0,2,2,0,31.0,5,0.0,0.08064516,0.91935486,0.09351433,0.03303965,51957.0,0.45987907,0,34.4,0,0,1,10,0,0,0,0,0,0,0,0,0.31671509,0,0.255739814111198
82,1.0,2,9,1,58.0,1,0.08209273,0.65929389,0.25861335,0.17849223,0.06482364,56516.0,39.772984,0,34.2,0,0,0,6,0,1,0,0,0,0,0,0,0.37747067,1,0.8757776746962467
83,,3,7,0,62.0,2,1.0,0.0,0.0,0.25346312,0.03633061,78204.0,3455.0278,0,51.2,0,1,0,7,0,0,1,0,0,1,0,0,0.42132047,0,
84,0.0,2,9,0,83.0,2,0.81070167,0.0,0.18929833,0.17683773,0.08605664,61307.0,107.66242,0,35.7,0,0,1,3,0,0,1,0,0,0,0,0,0.42934531,0,0.14754737681709013
85,0.0,3,3,0,56.0,2,0.93012744,0.0,0.06987259,0.15454261,0.04030028,77448.0,128.61081000000001,0,50.5,0,0,0,3,0,0,0,0,0,0,0,0,0.41586295,0,0.1736993330158173
86,0.0,1,3,0,42.0,2,0.80747765,0.0,0.19252232,0.21702838,0.03313253,71139.0,70.902016,0,47.4,0,0,0,8,0,0,1,0,0,0,0,0,0.41022068,0,0.2065569817147805
87,,3,2,1,61.0,2,0.47332186,0.0,0.52667814,0.15667465,0.02891791,58487.0,216.66945,0,45.8,0,0,0,4,0,0,0,0,0,0,0,0,0.45109469,0,
88,0.0,2,0,0,64.0,2,0.0,0.0,1.0,0.22376010000000002,0.04397163,62159.0,63.089127000000005,0,46.8,0,0,1,5,0,1,0,0,0,0,0,0,0.27795956,0,0.17707565400444428
89,0.0,3,5,1,66.0,2,1.0,0.0,0.0,0.16386247,0.043058,62399.0,3411.9595,0,58.7,0,0,0,1,0,0,0,0,0,0,0,0,0.54670519,0,0.19978331392435603
90,,3,7,1,47.0,1,1.0,0.0,0.0,0.16287094,0.01990446,57788.0,3760.7446,1,56.5,0,0,0,3,0,1,0,0,0,0,0,0,0.56586278,1,
91,0.0,3,2,1,69.0,2,1.0,0.0,0.0,0.12830189,0.05440313,59219.0,1981.5338,0,66.1,0,0,0,6,0,0,0,0,0,0,0,0,0.55686259,0,0.19804439421850523
92,,2,7,1,89.0,2,1.0,0.0,0.0,0.09016393,0.06095238,27500.0,3722.3674,0,69.0,0,0,0,4,0,0,0,0,0,0,0,0,0.64327729,0,
93,1.0,2,5,1,68.0,1,1.0,0.0,0.0,0.3533237,0.04228122,79606.0,887.96619,0,55.4,0,0,1,10,0,0,0,0,0,0,1,0,0.48564702,1,0.8398570501232954
94,1.0,2,2,0,80.0,1,0.51328725,0.0,0.48671278,0.27171108,0.02478699,80763.0,4.4076585999999995,0,44.6,0,1,0,2,0,0,0,0,0,0,1,0,0.31513253,1,0.7912595162630547
95,0.0,2,1,0,46.0,2,1.0,0.0,0.0,0.17886178,0.06789413,61528.0,3345.4187,0,54.0,0,0,0,10,0,0,0,0,0,0,0,0,0.47824931,0,0.21098712240500644
96,0.0,1,7,1,73.0,1,1.0,0.0,0.0,0.08113329,0.0701459,37212.0,5619.3008,0,62.5,0,1,0,4,0,1,0,0,0,0,0,0,0.62107945,1,0.8726610306065317
97,0.0,3,3,0,69.0,2,0.0,0.0,1.0,0.21839081,0.19540229,53529.0,0.3105447,0,46.3,0,0,0,7,0,0,1,0,0,0,0,0,0.2968578,0,0.17816554709045582
98,,3,5,1,54.0,1,1.0,0.0,0.0,0.15483435,0.04661389,51442.0,2688.187,1,65.5,0,0,0,1,0,1,0,0,0,0,1,0,0.58248001,1,
99,,2,0,0,61.0,5,1.0,0.0,0.0,0.07994580000000001,0.03677058,30361.0,4504.7178,0,66.5,0,0,0,9,0,1,0,0,0,0,0,0,0.57124406,0,
100,0.0,2,9,0,47.0,2,0.0,0.99198395,0.00801603,0.11360993,0.04752572,49073.0,552.16547,0,43.2,0,0,0,6,0,1,0,0,0,0,0,0,0.31916550000000005,0,0.2253332065544536
101,0.0,2,1,0,36.0,2,1.0,0.0,0.0,0.10629371,0.043755699999999995,41953.0,2867.7058,0,64.6,0,0,0,2,0,0,0,0,0,0,0,1,0.54299456,0,0.2591894926244097
102,0.0,1,3,1,48.0,2,1.0,0.0,0.0,0.25677604,0.02631579,91634.0,522.23523,0,54.3,0,0,0,5,0,0,0,0,0,0,0,0,0.46076286,0,0.19775400304954532
103,0.0,1,7,1,75.0,5,1.0,0.0,0.0,0.08248472,0.04581901,54519.0,2376.5469,0,71.9,0,0,0,6,0,0,0,0,0,0,0,1,0.57123995,0,0.19260463428795588
104,0.0,1,7,1,48.0,2,1.0,0.0,0.0,0.18414634,0.00864553,81800.0,2255.4768,0,50.4,1,0,0,6,0,0,0,0,0,0,0,1,0.49369967,0,0.2100465722108487
105,0.0,3,4,1,82.0,2,1.0,0.0,0.0,0.09617548,0.06113537,48171.0,1231.3881,0,47.8,0,1,1,6,0,0,0,0,0,0,0,0,0.58684683,0,0.1874151236100012
106,0.0,3,4,1,46.0,1,1.0,0.0,0.0,0.14472671,0.01986755,61818.0,3114.2224,0,57.9,0,0,1,6,0,0,0,0,0,0,1,0,0.55525726,1,0.8863338551751757
107,1.0,2,9,0,45.0,1,0.0,1.0,0.0,0.15362731,0.05285868,60096.0,403.43387,0,35.0,1,0,1,10,0,1,0,0,0,0,0,0,0.29018590000000005,1,0.8704341591592435
108,1.0,2,8,1,47.0,1,0.0,0.0,1.0,0.07342527,0.09631260000000001,32950.0,5.2097259000000005,0,42.1,0,0,1,2,1,0,0,0,0,0,1,0,0.43634462,1,0.905883946574454
109,0.0,2,6,0,73.0,2,0.0,0.5843094,0.4156906,0.09116107,0.06543019,36843.0,47.085079,0,43.8,1,0,1,6,0,0,0,0,0,0,0,0,0.34561944,0,0.1903849955593837
110,0.0,1,2,1,62.0,2,1.0,0.0,0.0,0.23501997,0.05130513,72908.0,1144.8127,0,53.9,1,0,0,6,0,1,0,0,0,0,0,0,0.51312578,0,0.1944444028899689
111,0.0,3,3,0,64.0,5,1.0,0.0,0.0,0.10096154,0.04244898,44233.0,4164.6357,0,61.4,0,0,0,8,0,0,1,0,0,0,0,0,0.528543,0,0.19810006214073292
112,1.0,2,1,0,75.0,1,1.0,0.0,0.0,0.19079685,0.04219949,68313.0,1669.4229,1,53.5,0,1,1,7,0,0,0,0,0,0,1,0,0.44957104,1,0.8156940614830451
113,,2,8,0,60.0,2,0.0,0.0,1.0,0.06081081,0.07197943,37083.0,4.001791000000001,0,33.5,1,0,1,6,0,0,0,0,0,0,0,0,0.34969106,0,
114,1.0,1,9,0,46.0,1,1.0,0.0,0.0,0.02138365,0.1256175,24120.0,5696.3848,1,75.4,0,0,0,6,0,0,0,0,1,0,0,0,0.8342852,1,0.8975328113029201
115,,3,2,1,89.0,1,0.6950534,0.0,0.3049466,0.21111111,0.03056517,56952.0,273.85172,0,51.8,0,0,0,5,1,0,0,0,0,0,1,0,0.4907777,1,
116,1.0,2,8,0,21.0,1,0.21559522,0.42459056,0.35981423,0.12339332,0.06312127,44526.0,8.5937424,0,42.5,0,0,1,10,0,0,1,0,0,0,0,0,0.37822515,1,0.9095363265822228
117,1.0,3,2,1,71.0,1,0.47332186,0.0,0.52667814,0.15667465,0.02891791,58487.0,216.66945,0,55.8,0,0,0,9,0,0,0,0,0,0,0,0,0.44825307,1,0.8562427470495365
118,,2,5,0,81.0,1,0.79988432,0.0,0.20011568,0.27426159,0.02470356,75000.0,53.070816,0,44.0,0,0,1,1,0,0,0,0,0,0,1,0,0.38432613,1,
119,1.0,3,2,0,64.0,1,1.0,0.0,0.0,0.13390501,0.04215976,63060.0,2861.7634,1,62.1,0,0,0,6,0,0,0,0,0,0,0,0,0.47105163,1,0.8399329084687687
120,0.0,2,9,1,55.0,2,0.08209273,0.65929389,0.25861335,0.17849223,0.06482364,56516.0,39.772984,0,35.2,1,0,1,5,0,1,0,0,0,0,0,0,0.37828052,0,0.22925725292100307
121,1.0,2,8,1,49.0,1,0.0,0.07540466,0.92459536,0.14004376,0.05115962,45441.0,7.4788542,0,38.1,1,0,0,2,0,0,1,0,0,0,0,0,0.39689359,1,0.895159860918362
122,,2,3,1,50.0,2,0.0,0.76954842,0.23045161,0.0516269,0.0590513,53456.0,15.856395999999998,0,29.4,0,0,1,1,0,0,0,0,0,0,0,0,0.37819076,0,
123,0.0,3,2,1,45.0,2,1.0,0.0,0.0,0.08816706,0.03376623,80456.0,1090.4355,0,40.7,0,0,0,5,0,1,0,0,0,0,1,0,0.50315607,0,0.21773997679341275
124,0.0,2,6,1,31.0,2,0.63669628,0.0,0.36330372,0.25249642,0.02311111,64077.0,30.256556,0,46.6,0,1,1,9,0,1,0,0,0,0,0,0,0.47215805,0,0.27140741872549584
125,1.0,3,2,1,74.0,1,1.0,0.0,0.0,0.22182469,0.01818182,87121.0,1386.9518,0,41.9,0,0,0,2,0,0,0,0,0,0,0,0,0.46849397,1,0.8217818352161382
126,,2,4,1,78.0,1,1.0,0.0,0.0,0.04359313,0.0556553,38417.0,2167.1475,1,72.5,0,0,1,9,0,0,0,0,1,0,1,0,0.84705079,1,
127,1.0,3,0,1,52.0,2,0.0,0.0,1.0,0.07714701,0.0610998,45893.0,0.33121732,0,56.1,0,0,0,4,0,0,1,0,0,1,0,0,0.39773092,0,0.2506255148845494
128,,3,9,0,60.0,1,1.0,0.0,0.0,0.18248175,0.024961,49028.0,4612.3794,0,54.8,0,0,0,5,0,1,0,0,0,0,0,0,0.51153719,1,
129,,3,4,0,92.0,1,1.0,0.0,0.0,0.09617548,0.06113537,48171.0,1231.3881,0,47.8,0,1,1,3,0,0,0,0,0,0,0,0,0.5089134,1,
130,0.0,2,2,0,76.0,2,0.90063608,0.0,0.09936389,0.06637168,0.05046055,47355.0,236.04401000000001,0,49.4,0,0,0,3,0,0,0,0,0,0,0,0,0.49688089,0,0.17308967277903664
131,0.0,2,5,0,77.0,2,1.0,0.0,0.0,0.39111111,0.04615385,91197.0,235.79681000000002,0,40.5,0,0,1,8,0,0,0,0,0,0,0,0,0.37355888,0,0.12860123412766944
132,1.0,1,1,0,63.0,1,1.0,0.0,0.0,0.14322747,0.05658784,69038.0,2781.0137,0,54.8,0,0,1,3,0,0,0,0,0,0,0,0,0.45309439,1,0.8352752638887931
133,,1,7,0,69.0,1,1.0,0.0,0.0,0.05918728,0.04936854,31394.0,4966.124,0,68.2,1,1,0,4,0,0,0,0,0,0,0,0,0.56689566,1,
134,,3,4,1,34.0,2,1.0,0.0,0.0,0.22153209,0.0,76172.0,2297.4707,0,59.4,0,0,0,3,0,1,0,0,0,0,0,1,0.51262122,0,
135,1.0,3,2,1,55.0,1,0.51328725,0.0,0.48671278,0.27171108,0.02478699,80763.0,4.4076585999999995,1,51.8,0,0,0,7,0,1,0,0,0,0,0,0,0.39085507,1,0.858353668512215
136,1.0,2,0,1,52.0,2,1.0,0.0,0.0,0.01943199,0.1411043,32250.0,1571.5666,0,60.0,0,0,1,1,0,0,0,0,0,0,0,0,0.64268017,0,0.2708738983427429
137,,3,3,1,65.0,2,0.91910052,0.0,0.08089945,0.25410697,0.05022831,63578.0,27.444939,0,52.4,0,0,0,5,0,0,1,0,0,0,0,1,0.52219135,0,
138,,2,5,1,60.0,2,0.0,0.73636681,0.26363319,0.14207049,0.0810622,51010.0,105.89551999999999,0,35.2,1,0,1,10,0,1,0,0,0,0,0,0,0.37784725,0,
139,1.0,1,1,1,49.0,5,1.0,0.0,0.0,0.09797297,0.0,63333.0,1331.2023,0,58.5,0,1,1,2,0,0,0,0,0,0,0,0,0.55246723,0,0.2325078435071787
